epoch,binary_dice_score,learning_rate,loss,val_binary_dice_score,val_loss
0,0.3986259698867798,9.999999974752427e-07,1.4092305898666382,1.4445427276230105e-13,1.2502009868621826
1,0.612348198890686,3.0899998819222674e-05,1.166007161140442,0.7371277213096619,1.2121037244796753
2,0.7138887047767639,6.08000009378884e-05,0.9617893695831299,0.6007871627807617,1.2106530666351318
3,0.7826016545295715,9.069999941857532e-05,0.8106653094291687,0.6439856886863708,1.3415323495864868
4,0.8042932152748108,0.00012060000153724104,0.734695553779602,0.5872054696083069,1.4960591793060303
5,0.7409378290176392,0.00015049999637994915,0.8515777587890625,0.662850022315979,1.758290410041809
6,0.7963017225265503,0.0001804000057745725,0.7493411898612976,0.5875740051269531,1.55553138256073
7,0.7518496513366699,0.0002103000006172806,0.8689605593681335,0.5611010193824768,3.5096113681793213
8,0.7818673849105835,0.0002401999954599887,0.7648115754127502,0.5456019639968872,5.7496514320373535
9,0.8223733305931091,0.0002700999903026968,0.6523218750953674,0.5935660004615784,5.2466583251953125
10,0.776405394077301,0.0003000000142492354,0.7668278217315674,0.40417614579200745,1.7257189750671387
11,0.7856355309486389,0.0002999951539095491,0.7615442276000977,0.7388604879379272,1.025038480758667
12,0.7570313215255737,0.00029998060199432075,0.7912188768386841,0.7113386392593384,1.6362470388412476
13,0.7554134726524353,0.0002999563585035503,0.7984884977340698,0.5749739408493042,2.7003989219665527
14,0.7083812952041626,0.0002999223943334073,0.8965712189674377,0.7132641673088074,1.0560458898544312
15,0.7881786823272705,0.00029987876769155264,0.7564824223518372,0.7202227115631104,0.9913914203643799
16,0.7726500034332275,0.00029982542037032545,0.7425040602684021,0.6665602922439575,1.0131198167800903
17,0.7789111137390137,0.00029976238147355616,0.7590317130088806,0.4179363548755646,1.5998762845993042
18,0.8058207631111145,0.00029968968010507524,0.6891681551933289,0.07771361619234085,1.7782527208328247
19,0.8261587023735046,0.0002996072871610522,0.6211455464363098,0.5041438937187195,1.134592056274414
20,0.8457212448120117,0.0002995152317453176,0.5601391196250916,0.46724069118499756,1.1577141284942627
21,0.7828972935676575,0.00029941348475404084,0.7124486565589905,0.15826348960399628,1.8060247898101807
22,0.7562133073806763,0.00029930207529105246,0.7730308771133423,1.3855504742664448e-13,2.1242473125457764
23,0.8133974075317383,0.0002991810324601829,0.6795786023139954,0.017947588115930557,1.9596612453460693
24,0.7988227605819702,0.0002990503271576017,0.6931763291358948,0.011916370131075382,1.955372929573059
25,0.7982167601585388,0.00029890998848713934,0.6460052132606506,1.2617215757425304e-13,2.397423505783081
26,0.7964444160461426,0.0002987600164487958,0.6801310181617737,1.3385738914864498e-13,3.05759859085083
27,0.8252641558647156,0.00029860041104257107,0.6549378633499146,1.3033796047653978e-13,2.208176612854004
