epoch,binary_dice_score,learning_rate,loss,val_binary_dice_score,val_loss
0,0.5397635698318481,9.999999974752427e-07,1.4446277618408203,0.6507296562194824,1.1992218494415283
1,0.6119259595870972,3.0899998819222674e-05,1.2200648784637451,0.6444852948188782,1.1958868503570557
2,0.718174934387207,6.08000009378884e-05,1.0308341979980469,0.7362011075019836,0.9307618141174316
3,0.7178043127059937,9.069999941857532e-05,1.0258581638336182,0.12543965876102448,1.4271042346954346
4,0.7011539936065674,0.00012060000153724104,1.0788246393203735,0.769252598285675,1.0641040802001953
5,0.7989290356636047,0.00015049999637994915,0.7981798052787781,0.7857711315155029,0.9703376889228821
6,0.7156668305397034,0.0001804000057745725,0.9494123458862305,0.4886310398578644,1.2921644449234009
7,0.7069658637046814,0.0002103000006172806,0.9852294921875,0.01917102374136448,2.2953548431396484
8,0.8130310773849487,0.0002401999954599887,0.7448307871818542,0.0013801833847537637,1.5024011135101318
9,0.7427924275398254,0.0002700999903026968,0.9026080369949341,0.00698087178170681,4.595098495483398
10,0.7478724718093872,0.0003000000142492354,0.882426917552948,0.07041673362255096,1.5347943305969238
11,0.7796337604522705,0.0002999795542564243,0.8169478178024292,0.0007887635729275644,1.7858853340148926
12,0.7958369255065918,0.0002999182615894824,0.7630211114883423,3.0681485441164114e-06,2.6754519939422607
13,0.6877015233039856,0.0002998161071445793,1.0119516849517822,0.8670337200164795,0.6141823530197144
14,0.793241024017334,0.0002996731491293758,0.7635773420333862,0.8219125270843506,0.6754736304283142
15,0.7760864496231079,0.000299489387543872,0.8305410742759705,0.0002942453429568559,3.01837420463562
16,0.7672532200813293,0.00029926488059572875,0.781359076499939,0.8461970686912537,0.7078074216842651
17,0.7728055715560913,0.0002989997447002679,0.7850999236106873,0.003063042415305972,1.5918803215026855
18,0.7941963076591492,0.00029869397985748947,0.7523137331008911,0.8912023305892944,0.4773414134979248
19,0.796023428440094,0.00029834770248271525,0.7311413288116455,0.8598732352256775,0.5511425733566284
20,0.802629292011261,0.0002979610289912671,0.7215818762779236,4.480813913687598e-06,2.2204599380493164
21,0.788321852684021,0.0002975340175908059,0.71717369556427,0.5349209904670715,1.0072757005691528
22,0.781949520111084,0.00029706681380048394,0.7550020217895508,0.8516813516616821,0.6267518997192383
23,0.7923333048820496,0.0002965595340356231,0.7216366529464722,0.8762633800506592,0.6354426741600037
24,0.7614454030990601,0.00029601232381537557,0.780874490737915,0.8916588425636292,0.47188347578048706
25,0.8003641963005066,0.0002954253286588937,0.6869255304336548,0.8952875137329102,0.45693448185920715
26,0.7967702746391296,0.00029479872318916023,0.7261216640472412,0.8490101099014282,0.5626018047332764
27,0.7562678456306458,0.0002941326820291579,0.7676697969436646,0.8622329831123352,0.6526148915290833
28,0.8158795237541199,0.00029342735069803894,0.6325859427452087,0.9125548601150513,0.42671462893486023
29,0.8313067555427551,0.00029268296202644706,0.5953461527824402,0.8292370438575745,0.6297675967216492
30,0.7975420951843262,0.000291899690637365,0.6795240640640259,0.7961600422859192,1.1736218929290771
31,0.8268345594406128,0.0002910777402576059,0.6213285326957703,0.9347092509269714,0.32703518867492676
32,0.8250559568405151,0.0002902174019254744,0.6284661889076233,0.004969839006662369,1.8043644428253174
33,0.8265957236289978,0.00028931882116012275,0.6135653257369995,6.070162635296583e-05,1.9327812194824219
34,0.8062973618507385,0.000288382318103686,0.6556157469749451,0.0012814344372600317,1.7281262874603271
35,0.8127837777137756,0.00028740812558680773,0.6552366018295288,0.00022117720800451934,2.1159095764160156
36,0.8245747685432434,0.00028639647644013166,0.6318055391311646,0.0009913936955854297,1.6969356536865234
37,0.760281503200531,0.0002853476908057928,0.7889642715454102,0.8285390138626099,0.6535686254501343
38,0.8075096607208252,0.00028426203061826527,0.6605345606803894,0.8069609999656677,0.5908832550048828
39,0.7721378207206726,0.0002831398160196841,0.7206912636756897,0.9249737858772278,0.3845207691192627
40,0.7587493062019348,0.0002819813380483538,0.7824990153312683,0.7822323441505432,0.8920458555221558
41,0.8104578852653503,0.000280786887742579,0.6351187229156494,0.8508986234664917,0.588750958442688
42,0.8486174941062927,0.0002795568434521556,0.5389171242713928,1.873606197477784e-05,1.8411461114883423
43,0.7878832221031189,0.0002782914962153882,0.6877508759498596,0.8131296038627625,0.7553409337997437
44,0.8119530081748962,0.00027699125348590314,0.6258112788200378,0.8598145246505737,0.4910832345485687
45,0.7813912630081177,0.0002756563771981746,0.7056006193161011,0.5676748752593994,1.2039072513580322
46,0.8044366836547852,0.00027428733301348984,0.6625985503196716,0.8533674478530884,0.6131618022918701
47,0.8107694983482361,0.00027288441197015345,0.6446875333786011,0.870597779750824,0.4617242217063904
48,0.8816670775413513,0.00027144805062562227,0.47547271847724915,0.7257920503616333,0.7811598181724548
49,0.8663337230682373,0.0002699785982258618,0.4992294907569885,0.7421020269393921,0.7080785036087036
50,0.8134781718254089,0.0002684765204321593,0.6147672533988953,0.703833281993866,0.6940512657165527
51,0.8347956538200378,0.0002669421664904803,0.5999863743782043,0.857958972454071,0.501162052154541
